province_isocode;region_isocode;cashless_id;date_id;transactions_value;transactions_volume
AC;SM;RTGS;26;2420.615;5213
AC;SM;RTGS;27;3314.392;6435
AC;SM;RTGS;28;3488.341;6929
AC;SM;RTGS;29;2567.765;6096
AC;SM;RTGS;30;4111.785;6917
AC;SM;RTGS;31;3637.247;7085
AC;SM;RTGS;32;4081.107;7555
AC;SM;RTGS;33;3420.009;7656
AC;SM;RTGS;34;3785.152;7253
AC;SM;RTGS;35;2962.323;7762
AC;SM;RTGS;36;6118.068;8840
SU;SM;DBTC;1;22539.059;17906087
SU;SM;DBTC;2;22106.290;17727576
SU;SM;DBTC;3;21652.385;17393099
SU;SM;DBTC;4;18046.953;15271717
SU;SM;DBTC;5;21321.387;17644371
SU;SM;DBTC;6;16897.428;14772396
SU;SM;DBTC;7;21809.730;17988777
SU;SM;DBTC;8;22018.482;17930975
SU;SM;DBTC;9;21317.261;18273519
SU;SM;DBTC;10;24178.304;19793479
SU;SM;DBTC;11;21110.749;18500781
SU;SM;DBTC;12;24931.496;19868390
SU;SM;DBTC;13;21766.244;17517795
SU;SM;DBTC;14;19978.325;15781526
SU;SM;DBTC;15;23184.458;17958250
SU;SM;DBTC;16;22520.775;17734604
SU;SM;DBTC;17;23306.765;18484227
SU;SM;DBTC;18;23051.748;17716546
SU;SM;DBTC;19;22719.363;18425404
SU;SM;DBTC;20;20220.424;18683696
SU;SM;DBTC;21;23461.901;16349174
SU;SM;DBTC;22;22871.344;16584405
SU;SM;DBTC;23;23424.814;18377790
SU;SM;DBTC;24;26361.163;21168629
SU;SM;DBTC;25;32006.235;34815160
SU;SM;DBTC;26;28995.364;30443178
SU;SM;DBTC;27;34055.738;35903513
SU;SM;DBTC;28;36399.575;37002723
SU;SM;DBTC;29;30995.866;32512589
SU;SM;DBTC;30;30304.255;33755629
SU;SM;DBTC;31;34112.383;36498677
SU;SM;DBTC;32;33519.246;36424050
SU;SM;DBTC;33;29507.744;29058240
SU;SM;DBTC;34;29506.619;29790458
SU;SM;DBTC;35;28453.119;30353148
SU;SM;DBTC;36;31732.100;32840518
SU;SM;CRDC;1;934.259;2697856
SU;SM;CRDC;2;821.548;2494608
SU;SM;CRDC;3;822.712;2441003
SU;SM;CRDC;4;603.178;1674342
SU;SM;CRDC;5;558.239;1607429
SU;SM;CRDC;6;611.750;1831388
SU;SM;CRDC;7;616.283;1940299
SU;SM;CRDC;8;627.636;2019408
SU;SM;CRDC;9;620.626;1858707
SU;SM;CRDC;10;660.000;1522275
SU;SM;CRDC;11;789.006;1771156
SU;SM;CRDC;12;810.008;1756001
SU;SM;CRDC;13;710.498;1592773
SU;SM;CRDC;14;806.071;1817569
SU;SM;CRDC;15;861.211;2205082
SU;SM;CRDC;16;785.047;1723612
SU;SM;CRDC;17;838.216;1725678
SU;SM;CRDC;18;720.644;2024117
SU;SM;CRDC;19;671.181;1451650
SU;SM;CRDC;20;781.354;1690217
SU;SM;CRDC;21;1230.601;1645092
SU;SM;CRDC;22;1288.800;1761080
SU;SM;CRDC;23;1412.677;1876661
SU;SM;CRDC;24;1560.725;1981056
SU;SM;CRDC;25;866.770;1777416
SU;SM;CRDC;26;691.029;1467632
SU;SM;CRDC;27;860.087;1840384
SU;SM;CRDC;28;904.633;1719185
SU;SM;CRDC;29;941.769;1904624
SU;SM;CRDC;30;980.504;1846374
SU;SM;CRDC;31;950.489;1835288
SU;SM;CRDC;32;1082.990;2047739
SU;SM;CRDC;33;981.907;1883517
SU;SM;CRDC;34;976.174;1994987
SU;SM;CRDC;35;1049.832;2004609
SU;SM;CRDC;36;1075.008;2142873
SU;SM;SCLR;1;9027.635;2698
SU;SM;SCLR;2;8405.130;2495
SU;SM;SCLR;3;8950.984;2441
SU;SM;SCLR;4;8251.346;1674
SU;SM;SCLR;5;6875.059;1607
SU;SM;SCLR;6;8342.113;1831
SU;SM;SCLR;7;8338.718;1940
SU;SM;SCLR;8;7599.837;2019
SU;SM;SCLR;9;8683.203;1859
SU;SM;SCLR;10;8045.862;1522
SU;SM;SCLR;11;9499.631;1771
SU;SM;SCLR;12;10129.367;1756
SU;SM;SCLR;13;8313.182;1593
SU;SM;SCLR;14;7776.296;1818
SU;SM;SCLR;15;9629.116;2205
SU;SM;SCLR;16;9373.096;1724
SU;SM;SCLR;17;7929.213;1726
SU;SM;SCLR;18;9232.680;2024
SU;SM;SCLR;19;8615.942;1452
SU;SM;SCLR;20;8870.291;1690
SU;SM;SCLR;21;9358.880;1645
SU;SM;SCLR;22;9447.226;1761
SU;SM;SCLR;23;9957.748;1877
SU;SM;SCLR;24;11536.000;1981
SU;SM;SCLR;25;8683.276;1777
SU;SM;SCLR;26;7127.751;1468
SU;SM;SCLR;27;10097.277;1840
SU;SM;SCLR;28;9416.108;1719
SU;SM;SCLR;29;7350.727;1905
SU;SM;SCLR;30;8570.523;1846
SU;SM;SCLR;31;7254.380;1835
SU;SM;SCLR;32;8046.498;2048
SU;SM;SCLR;33;7742.413;1884
SU;SM;SCLR;34;7405.419;1995
SU;SM;SCLR;35;7844.786;2005
SU;SM;SCLR;36;8861.478;2143
SU;SM;RTGS;1;76851.070;12652
SU;SM;RTGS;2;59691.580;12229
SU;SM;RTGS;3;77389.573;13281
SU;SM;RTGS;4;77491.780;12556
SU;SM;RTGS;5;65654.515;10954
SU;SM;RTGS;6;74624.554;17024
SU;SM;RTGS;7;68103.990;18235
SU;SM;RTGS;8;62991.706;16644
SU;SM;RTGS;9;81899.045;19024
SU;SM;RTGS;10;74803.946;17430
SU;SM;RTGS;11;83214.830;20621
SU;SM;RTGS;12;85360.102;21659
SU;SM;RTGS;13;76440.167;18205
SU;SM;RTGS;14;69825.956;17370
SU;SM;RTGS;15;87510.434;20978
SU;SM;RTGS;16;86426.294;20824
SU;SM;RTGS;17;83367.930;17727
SU;SM;RTGS;18;91432.031;20013
SU;SM;RTGS;19;79397.885;18013
SU;SM;RTGS;20;67510.005;19258
SU;SM;RTGS;21;71434.162;20776
SU;SM;RTGS;22;72571.745;20823
SU;SM;RTGS;23;74859.187;21578
SU;SM;RTGS;24;84664.630;25132
SU;SM;RTGS;25;66404.023;20303
SU;SM;RTGS;26;61417.726;17430
SU;SM;RTGS;27;91474.587;23474
SU;SM;RTGS;28;85661.930;22249
SU;SM;RTGS;29;63292.247;16361
SU;SM;RTGS;30;79684.475;21200
SU;SM;RTGS;31;61196.306;19431
SU;SM;RTGS;32;72517.547;20276
SU;SM;RTGS;33;69250.695;20096
SU;SM;RTGS;34;81928.089;18536
SU;SM;RTGS;35;73908.096;19414
SU;SM;RTGS;36;77203.437;21119
SB;SM;DBTC;1;7106.343;2177988
SB;SM;DBTC;2;6745.938;1824421
SB;SM;DBTC;3;6835.669;2124865
SB;SM;DBTC;4;5917.925;1894864
SB;SM;DBTC;5;7174.669;2156721
SB;SM;DBTC;6;5736.488;1635638
SB;SM;DBTC;7;7609.573;2268704
SB;SM;DBTC;8;7430.196;2393610
SB;SM;DBTC;9;7026.337;2286287
SB;SM;DBTC;10;7966.354;2354589
SB;SM;DBTC;11;7374.354;2218690
SB;SM;DBTC;12;8624.603;2510775
SB;SM;DBTC;13;7683.094;2317043
SB;SM;DBTC;14;6941.034;2025436
SB;SM;DBTC;15;8232.231;2441387
SB;SM;DBTC;16;8204.111;2038725
SB;SM;DBTC;17;9023.645;2488205
SB;SM;DBTC;18;8453.275;2455545
SB;SM;DBTC;19;8491.130;2394412
SB;SM;DBTC;20;7339.967;2291019
