stock_ticker;company_name;initial_stock_listing
BEKS;BANK PEMBANGUNAN DAERAH BANTEN;2001-07-13
BJBR;BANK PEMBANGUNAN DAERAH JAWA BARAT DAN BANTEN;2010-07-08
BJTM;BANK PEMBANGUNAN DAERAH JAWA TIMUR;2012-07-12
BNLI;BANK PERMATA;1990-01-15
BKSW;BANK QNB INDONESIA;2002-11-21
BBRI;BANK RAKYAT INDONESIA;2003-11-10
AGRO;BANK RAYA INDONESIA;2003-08-08
BSIM;BANK SINARMAS;2010-12-13
BRIS;BANK SYARIAH INDONESIA;2018-05-09
BBTN;BANK TABUNGAN NEGARA;2009-12-17
BVIC;BANK VICTORIA INTERNATIONAL;1999-06-30
SDRA;BANK WOORI SAUDARA INDONESIA 1906;2006-12-15
BSSR;BARAMULTI SUKSESSARANA;2012-11-08
BRPT;BARITO PACIFIC;1993-10-01
BPII;BATAVIA PROSPERINDO INTERNASIONAL;2014-07-08
BPTR;BATAVIA PROSPERINDO TRANS;2018-07-09
BESS;BATULICIN NUSANTARA MARITIM;2020-03-09
BYAN;BAYAN RESOURCES;2008-08-12
BAYU;BAYU BUANA;1989-10-30
BAPA;BEKASI ASRI PEMULA;2008-01-14
BEST;BEKASI FAJAR INDUSTRIAL ESTATE;2012-04-10
RMBA;BENTOEL INTERNATIONAL INVESTAMA;1990-03-05
BDKR;BERDIKARI PONDASI PERKASA;2023-03-03
BEBS;BERKAH BETON SADAYA;2021-03-10
BLUE;BERKAH PRIMA PERKASA;2019-07-08
BLTA;BERLIAN LAJU TANKER;1990-03-26
BRNA;BERLINA;1989-11-06
ZATA;BERSAMA ZATTA JAYA;2022-11-10
BTON;BETONJAYA MANUNGGAL;2001-07-18
BFIN;BFI FINANCE INDONESIA;1990-05-16
BAPI;BHAKTI AGUNG PROPERTINDO;2019-09-16
BHAT;BHAKTI MULTI ARTHA;2020-04-15
BIPP;BHUWANATALA INDAH PERMAI;1995-10-23
PAMG;BIMA SAKTI PERTIWI;2019-07-05
BIKA;BINAKARYA JAYA ABADI;2015-07-14
BMSR;BINTANG MITRA SEMESTARAYA;1999-12-29
BOGA;BINTANG OTO GLOBAL;2016-12-19
BSML;BINTANG SAMUDERA MANDIRI LINES;2021-12-16
BISI;BISI INTERNATIONAL;2007-05-28
COAL;BLACK DIAMOND RESOURCES;2022-09-07
POSA;BLISS PROPERTI INDONESIA;2019-05-10
BIRD;BLUE BIRD;2014-11-05
BOSS;BORNEO OLAH SARANA SUKSES;2018-02-15
SOFA;BOSTON FURNITURE INDUSTRIES.;2020-07-07
STAR;BUANA ARTHA ANUGERAH;2011-07-13
BBLD;BUANA FINANCE;1990-05-07
BULL;BUANA LINTAS LAUTAN;2011-05-23
BUDI;BUDI STARCH & SWEETENER;1995-05-08
BUKK;BUKAKA TEKNIK UTAMA;2015-06-29
BUKA;BUKALAPAK.COM;2021-08-06
PTBA;BUKIT ASAM;2002-12-23
BKDP;BUKIT DARMO PROPERTY;2007-06-15
BUVA;BUKIT ULUWATU VILLA;2010-07-12
BBSS;BUMI BENOWO SUKSES SEJAHTERA;2020-04-15
BCIP;BUMI CITRA PERMAI;2009-12-11
BUMI;BUMI RESOURCES;1990-07-30
BRMS;BUMI RESOURCES MINERALS;2010-12-09
BSDE;BUMI SERPONG DAMAI;2008-06-06
BTEK;BUMI TEKNOKULTURA UNGGUL;2004-05-14
BMHS;BUNDAMEDIK;2021-07-06
HOKI;BUYUNG POETRA SEMBADA;2017-06-22
CBMF;CAHAYA BINTANG MEDAN;2020-04-09
CAKK;CAHAYAPUTRA ASA KERAMIK;2018-10-31
CSIS;CAHAYASAKTI INVESTINDO SUKSES;2017-05-10
CBRE;CAKRA BUANA RESOURCES ENERGI;2023-01-09
CAMP;CAMPINA ICE CREAM INDUSTRY;2017-12-19
CASA;CAPITAL FINANCIAL INDONESIA;2016-07-19
MTFN;CAPITALINC INVESTMENT;1990-04-16
CANI;CAPITOL NUSANTARA INDONESIA;2014-01-16
CPRI;CAPRI NUSA SATU PROPERTI;2019-04-11
CASS;CARDIG AERO SERVICES;2011-12-05
CASH;CASHLEZ WORLDWIDE INDONESIA;2020-05-04
CSAP;CATUR SENTOSA ADIPRANA;2007-12-12
DEPO;CATURKARDA DEPO BANGUNAN;2021-11-25
CMNT;CEMINDO GEMILANG;2021-09-08
DKFT;CENTRAL OMEGA RESOURCES;1997-11-21
CPRO;CENTRAL PROTEINA PRIMA;2006-11-28
CENT;CENTRATAMA TELEKOMUNIKASI INDONESIA;2001-11-01
CNTX;CENTURY TEXTILE INDUSTRY;1979-05-22
TRGU;CERESTAR INDONESIA;2022-07-08
ENAK;CHAMP RESTO INDONESIA;2022-02-08
IGAR;CHAMPION PACIFIC INDONESIA;1990-11-05
TPIA;CHANDRA ASRI PETROCHEMICAL;2008-05-26
NICK;CHARNIC CAPITAL;2018-05-02
CPIN;CHAROEN POKPHAND INDONESIA;1991-03-18
CHEM;CHEMSTAR INDONESIA;2022-07-08
CINT;CHITOSE INTERNASIONAL;2014-06-27
CSMI;CIA SELERA MURNI;2020-04-09
POWR;CIKARANG LISTRINDO;2016-06-14
ASHA;CILACAP SAMUDERA FISHING INDUSTRY;2022-05-27
CTRA;CIPUTRA DEVELOPMENT;1994-03-28
CSRA;CISADANE SAWIT RAYA;2020-01-09
CMRY;CISARUA MOUNTAIN DAIRY;2021-12-06
CITA;CITA MINERAL INVESTINDO;2002-03-20
CTTH;CITATAH;1996-07-03
CBUT;CITRA BORNEO UTAMA;2022-11-08
CBPE;CITRA BUANA PRASIDA;2023-01-06
CMNP;CITRA MARGA NUSAPHALA PERSADA;1995-01-10
CLAY;CITRA PUTRA REALTY;2019-01-18
CTBN;CITRA TUBINDO;1989-11-28
NIRO;CITY RETAIL DEVELOPMENTS;2012-09-13
CFIN;CLIPAN FINANCE INDONESIA;1990-08-27
CLPI;COLORPAK INDONESIA;2001-11-30
CCSI;COMMUNICATION CABLE SYSTEMS INDONESIA;2019-06-18
KPAS;COTTONINDO ARIESTA;2018-10-05
COWL;COWELL DEVELOPMENT;2007-12-19
DFAM;DAFAM PROPERTY INDONESIA;2018-04-27
UFOE;DAMAI SEJAHTERA ABADI;2021-02-01
TEBE;DANA BRATA LUHUR;2019-11-18
DEFI;DANASUPRA ERAPACIFIC;2001-07-06
DEWA;DARMA HENWA;2007-09-26
KAYU;DARMI BERSAUDARA;2019-07-04
DVLA;DARYA-VARIA LABORATORIA;1994-11-11
ELIT;DATA SINERGITAMA JAYA;2023-01-06
MTEL;DAYAMITRA TELEKOMUNIKASI;2021-11-22
DCII;DCI INDONESIA;2021-01-06
DLTA;DELTA DJAKARTA;1984-02-27
DOID;DELTA DUNIA MAKMUR;2001-06-15
PDES;DESTINASI TIRTA NUSANTARA;2008-07-08
DEAL;DEWATA FREIGHTINTERNATIONAL;2018-11-11
DEWI;DEWI SHRI FARMINDO;2022-07-18
DRMA;DHARMA POLIMETAL;2021-12-20
DSFI;DHARMA SAMUDERA FISHING IND.;2000-03-24
DSNG;DHARMA SATYA NUSANTARA;2013-06-14
DGNS;DIAGNOS LABORATORIUM UTAMA;2021-01-15
DADA;DIAMOND CITRA PROPERTINDO;2020-02-14
DMND;DIAMOND FOOD INDONESIA;2020-01-22
DSSA;DIAN SWASTATIKA SENTOSA;2009-12-10
DMMX;DIGITAL MEDIATAMA MAXIMA;2019-10-21
DIVA;DISTRIBUSI VOUCHER NUSANTARA;2018-11-27
PTDU;DJASA UBERSAKTI;2020-12-08
KOTA;DMS PROPERTINDO;2019-07-09
ZBRA;DOSNI ROHA INDONESIA;1991-08-01
DPUM;DUA PUTRA UTAMA MAKMUR;2015-12-08
DART;DUTA ANGGADA REALTY;1990-05-08
DAYA;DUTA INTIDAYA;2016-06-28
DUTI;DUTA PERTIWI;1994-11-02
DPNS;DUTA PERTIWI NUSANTARA;1990-08-08
DWGL;DWI GUNA LAKSANA;2017-12-13
DYAN;DYANDRA MEDIA INTERNATIONAL;2013-03-25
BWPT;EAGLE HIGH PLANTATIONS;2009-10-27
EAST;EASTPARC HOTEL;2019-07-09
LRNA;EKA SARI LORENA TRANSPORT;2014-04-15
EKAD;EKADHARMA INTERNATIONAL;1990-08-14
EMTK;ELANG MAHKOTA TEKNOLOGI;2010-01-12
ECII;ELECTRONIC CITY INDONESIA;2013-07-03
ELSA;ELNUSA;2008-02-06
MDKI;EMDEKI UTAMA;2017-09-25
ENRG;ENERGI MEGA PERSADA;2004-06-07
