stock_ticker;company_name;initial_stock_listing
MABA;MARGA ABHINAYA ABADI;2017-06-22
MARK;MARK DYNAMICS INDONESIA;2017-07-12
MBTO;MARTINA BERTO;2011-01-13
MAMI;MAS MURNI INDONESIA;1994-02-09
MREI;MASKAPAI REASURANSI INDONESIA;1989-09-04
LPPF;MATAHARI DEPARTMENT STORE;1989-10-09
MPPA;MATAHARI PUTRA PRIMA;1992-12-21
MYOR;MAYORA INDAH;1990-07-04
FILM;MD PICTURES;2018-08-07
MEDC;MEDCO ENERGI INTERNASIONAL;1994-10-12
MNCN;MEDIA NUSANTARA CITRA;2007-06-22
HEAL;MEDIKALOKA HERMINA;2018-05-16
MMLP;MEGA MANUNGGAL PROPERTY;2015-06-12
ZONE;MEGA PERINTIS;2018-12-12
EPAC;MEGALESTARI EPACK SENTOSARAYA;2020-07-01
EMDE;MEGAPOLITAN DEVELOPMENTS;2011-01-12
MPOW;MEGAPOWER MAKMUR;2017-07-05
MENN;MENN TEKNOLOGI INDONESIA;2023-04-18
HRME;MENTENG HERITAGE REALTY;2019-04-12
MKTR;MENTHOBI KARYATAMA RAYA;2022-11-08
MERK;MERCK;1981-07-23
MBMA;MERDEKA BATTERY MATERIALS;2023-04-18
MDKA;MERDEKA COPPER GOLD;2015-06-19
MTPS;META EPSI;2019-04-10
CARE;METRO HEALTHCARE INDONESIA;2020-03-13
MTSM;METRO REALTY;1992-01-08
MTDL;METRODATA ELECTRONICS;1990-04-09
MKPI;METROPOLITAN KENTJANA;2009-07-10
MTLA;METROPOLITAN LAND;2011-06-20
MIDI;MIDI UTAMA INDONESIA;2010-11-30
SDPC;MILLENNIUM PHARMACON INTERNATIONAL;1990-05-07
AKSI;MINERAL SUMBERDAYA MANDIRI;2001-07-13
PADI;MINNA PADI INVESTAMA SEKURITAS;2012-01-09
MAPI;MITRA ADIPERKASA;2004-11-10
BAUT;MITRA ANGKASA SEJAHTERA;2022-01-28
KOPI;MITRA ENERGI PERSADA;2015-05-04
MIRA;MITRA INTERNATIONAL RESOURCES;1997-01-30
MITI;MITRA INVESTINDO;1997-07-16
MIKA;MITRA KELUARGA KARYASEHAT;2015-03-24
MKNT;MITRA KOMUNIKASI NUSANTARA;2015-10-26
PTMP;MITRA PACK;2023-03-06
MTRA;MITRA PEMUDA;2016-02-10
MPMX;MITRA PINASTHIKA MUSTIKA;2013-05-29
SOUL;MITRA TIRTA BUWANA;2023-01-06
MBSS;MITRABAHTERA SEGARA SEJATI;2011-04-06
MBAP;MITRABARA ADIPERDANA;2014-07-10
VRNA;MIZUHO LEASING INDONESIA;2008-06-25
BHIT;MNC ASIA HOLDING;1997-11-24
MSIN;MNC DIGITAL ENTERTAINMENT;2018-06-08
IATA;MNC ENERGY INVESTMENTS;2006-09-13
BCAP;MNC KAPITAL INDONESIA;2001-06-08
KPIG;MNC LAND;2000-03-30
MSKY;MNC SKY VISION;2012-07-09
IPTV;MNC VISION NETWORKS;2019-07-08
MDRN;MODERN INTERNASIONAL;1991-07-16
MDLN;MODERNLAND REALTY;1993-01-18
MORA;MORA TELEMATIKA INDONESIA;2022-08-08
ENZO;MORENZO ABADI PERKASA;2020-09-14
MPXL;MPX LOGISTICS INTERNATIONAL;2023-05-09
KEJU;MULIA BOGA RAYA;2019-11-25
MLIA;MULIA INDUSTRINDO;1994-01-17
MAGP;MULTI AGRO GEMILANG PLANTATION;2013-01-16
MLBI;MULTI BINTANG INDONESIA;1981-12-15
MICE;MULTI INDOCITRA;2005-12-21
PIPA;MULTI MAKMUR LEMINDO;2023-04-10
MMIX;MULTI MEDIKA INTERNASIONAL;2022-12-06
LPIN;MULTI PRIMA SEJAHTERA;1990-02-05
MFMI;MULTIFILING MITRA INDONESIA;2010-12-29
MLPL;MULTIPOLAR;1989-11-06
MLPT;MULTIPOLAR TECHNOLOGY;2013-07-08
MASA;MULTISTRADA ARAH SARANA;2005-06-09
MTMH;MURNI SADAR;2022-04-20
MRAT;MUSTIKA RATU;1995-07-27
NANO;NANOTECH INDONESIA GLOBAL;2022-03-10
CITY;NATURA CITY DEVELOPMENTS;2018-09-28
NETV;NET VISI MEDIA;2022-01-26
NFCX;NFC INDONESIA;2018-07-12
ROTI;NIPPON INDOSARI CORPINDO;2010-06-28
NIPS;NIPRESS;1991-07-24
SKYB;NORTHCLIFF CITRANUSA INDONESIA;2010-07-07
DGIK;NUSA KONSTRUKSI ENJINIRING;2007-12-19
NPGF;NUSA PALAPA GEMILANG;2021-04-14
NRCA;NUSA RAYA CIA;2013-06-27
NZIA;NUSANTARA ALMAZIA,;2019-09-25
META;NUSANTARA INFRASTRUCTURE;2001-07-18
UNIT;NUSANTARA INTI CORPORA;2002-04-18
PORT;NUSANTARA PELABUHAN HANDAL;2017-03-16
NSSS;NUSANTARA SAWIT SEJAHTERA;2023-03-10
NTBK;NUSATAMA BERKAH;2022-02-09
OBMD;OBM DRILCHEM;2021-12-08
OPMS;OIMA PRIMA METAL SINERGI;2019-09-23
TELE;OMNI INOVASI INDONESIA;2012-01-12
OCAP;ONIX CAPITAL;2003-10-10
SCPI;ORGANON PHARMA INDONESIA;1990-06-08
OLIV;OSCAR MITRA SUKSES SEJAHTERA;2022-05-17
TKIM;PABRIK KERTAS TJIWI KIMIA;1990-04-03
APIC;PACIFIC STRATEGIC FINANCIAL;2002-12-18
UANG;PAKUAN;2020-07-06
PWON;PAKUWON JATI;1989-10-09
PSGO;PALMA SERASIH;2019-11-25
NICL;PAM MINERAL;2021-07-09
PBRX;PAN BROTHERS;1990-08-16
HDTX;PANASIA INDO RESOURCES;1990-06-06
MGLV;PANCA ANUGRAH WISESA;2021-06-08
PBID;PANCA BUDI IDAMAN;2017-12-13
PEGE;PANCA GLOBAL KAPITAL;2005-06-24
PMMP;PANCA MITRA MULTIPERDANA;2020-12-18
PNLF;PANIN FINANCIAL;1983-06-14
PANS;PANIN SEKURITAS;2000-05-31
PNIN;PANINVEST;1983-09-20
PANR;PANORAMA SENTRAWISATA;2001-09-18
PBSA;PARAMITA BANGUN SARANA;2016-09-28
PICO;PELANGI INDAH CANINDO;1996-09-23
NIKL;PELAT TIMAH NUSANTARA;2009-12-14
BBRM;PELAYARAN NASIONAL BINA BUANA RAYA;2013-01-09
ELPI;PELAYARAN NASIONAL EKALYA PURNAMASARI;2022-08-08
NELY;PELAYARAN NELLY DWI PUTRI;2012-10-11
TAMU;PELAYARAN TAMARIN SAMUDRA;2017-05-10
CHIP;PELITA TEKNOLOGI GLOBAL;2023-02-08
PGLI;PEMBANGUNAN GRAHA LESTARI;2000-04-05
PJAA;PEMBANGUNAN JAYA ANCOL;2004-07-02
PEVE;PENTA VALENT;2023-01-24
KONI;PERDANA BANGUN PUSAKA;1995-08-22
GPRA;PERDANA GAPURA PRIMA;2007-10-10
PKPK;PERDANA KARYA PERKASA;2007-07-11
TRIN;PERINTIS TRINITI PROPERTI;2020-01-15
BINO;PERMA PLASINDO;2021-11-25
PADA;PERSONEL ALIH DAYA;2022-12-08
PGEO;PERTAMINA GEOTHERMAL ENERGY;2023-02-24
PGAS;PERUSAHAAN GAS NEGARA;2003-12-15
CUAN;PETRINDO JAYA KREASI;2023-03-08
PTRO;PETROSEA;1990-05-21
PEHA;PHAPROS;2018-12-26
RODA;PIKKO LAND DEVELOPMENT;2001-10-22
PNGO;PINAGO UTAMA;2020-08-31
PTSP;PIONEERINDO GOURMET INTERNATIONAL;1994-05-30
PLAN;PLANET PROPERINDO JAYA;2020-09-15
PLIN;PLAZA INDONESIA REALTY;1992-06-15
PLAS;POLARIS INVESTAMA;2001-03-16
POLI;POLLUX HOTELS GROUP;2019-01-10
POLL;POLLUX PROPERTIES INDONESIA;2018-07-11
ADMG;POLYCHEM INDONESIA;1993-10-20
POLA;POOL ADVISTA FINANCE;2018-11-16
POOL;POOL ADVISTA INDONESIA;1991-05-20
PTPP;PP;2010-02-09
LSIP;PP LONDON SUMATRA INDONESIA;1996-07-05
PPRE;PP PRESISI;2017-11-24
PPRO;PP PROPERTI;2015-05-19
PGUN;PRADIKSI GUNATAMA;2020-07-07
PSDN;PRASIDHA ANEKA NIAGA;1994-10-18
PANI;PRATAMA ABADI NUSA INDUSTRI;2018-09-18
PTPW;PRATAMA WIDYA;2020-02-07
PRAS;PRIMA ALLOY STEEL UNIVERSAL;1990-07-12
MCOL;PRIMA ANDALAN MANDIRI;2021-09-07
PCAR;PRIMA CAKRAWALA ABADI;2017-12-29
PPGL;PRIMA GLOBALINDO LOGISTIK;2020-07-20
PDPP;PRIMADAYA PLASTISINDO;2022-11-09
BIMA;PRIMARINDO ASIA INFRASTRUCTURE;1994-08-30
PRDA;PRODIA WIDYAHUSADA;2016-12-07
PALM;PROVIDENT INVESTASI BERSAMA;2012-10-08
PNSE;PUDJIADI & SONS;1990-05-01
PUDP;PUDJIADI PRESTIGE;1994-11-18
DMAS;PURADELTA LESTARI;2015-05-29
PURI;PURI GLOBAL SUKSES;2020-09-08
KDTN;PURI SENTUL PERMAI;2022-11-09
PMJS;PUTRA MANDIRI JEMBAR;2019-12-18
PURA;PUTRA RAJAWALI KENCANA;2020-01-29
PYFA;PYRIDAM FARMA;2001-10-16
HDFA;RADANA BHASKARA FINANCE;2011-05-10
RUIS;RADIANT UTAMA INTERINSCO;2006-07-12
RALS;RAMAYANA LESTARI SENTOSA;1996-07-24
ARTI;RATU PRABU ENERGI;2003-04-30
PSKT;RED PLANET INDONESIA;1995-09-19
RELI;RELIANCE SEKURITAS INDONESIA;2005-07-13
REAL;REPOWER ASIA INDONESIA;2019-12-06
KKGI;RESOURCE ALAM INDONESIA;1991-07-01
RICY;RICKY PUTRA GLOBALINDO;1998-01-22
RIGS;RIG TENDERS;1990-03-05
RIMO;RIMO INTERNATIONAL LESTARI;2000-11-10
RBMS;RISTIA BINTANG MAHKOTASEJATI;1997-12-19
RMKE;RMK ENERGY;2021-12-07
ROCK;ROCKFIELDS PROPERTI INDONESIA;2020-09-10
RDTX;RODA VIVATEX;1990-05-14
TOOL;ROHARTINDO NUSANTARA LUAS;2022-08-09
PRIM;ROYAL PRIMA;2018-05-15
INDO;ROYALINDO INVESTA WIJAYA;2020-01-13
RAJA;RUKUN RAHARJA;2006-04-19
SAGE;SAAUSAHA GEMILANGINDAH;2023-03-08
SIMP;SALIM IVOMAS PRATAMA;2011-06-09
AGII;SAMATOR INDO GAS;2016-09-28
MYOH;SAMINDO RESOURCES;2000-07-27
SGRO;SAMPOERNA AGRO;2007-06-18
SMDR;SAMUDERA INDONESIA;1999-07-05
MINA;SANURHASTA MITRA;2017-04-28
SAME;SARANA MEDITAMA METROPOLITAN;2013-01-11
TOWR;SARANA MENARA NUSANTARA;2010-03-08
SMIL;SARANA MITRA LUAS;2023-05-12
BAJA;SARANACENTRAL BAJATAMA;2011-12-21
SAMF;SARASWANTI ANUGERAH MAKMUR;2020-03-31
SWID;SARASWANTI INDOLAND DEVELOPMENT;2022-07-07
HOTL;SARASWATI GRIYA LESTARI;2013-01-10
SRTG;SARATOGA INVESTAMA SEDAYA;2013-06-26
RAFI;SARI KREASI BOGA;2022-08-05
CLEO;SARIGUNA PRIMATIRTA;2017-05-05
PZZA;SARIMELATI KENCANA;2018-05-23
PTSN;SAT NUSAPERSADA;2007-11-08
SAPX;SATRIA ANTARAN PRIMA;2018-10-03
SOTS;SATRIA MEGA KENCANA;2018-12-10
SMKL;SATYAMITRA KEMAS LESTARI;2019-07-11
SSMS;SAWIT SUMBERMAS SARANA;2013-12-12
BUAH;SEGAR KUMALA INDONESIA;2022-08-09
SBAT;SEJAHTERA BINTANG ABADI TEXTILE;2020-04-08
SRAJ;SEJAHTERARAYA ANUGRAHJAYA;2011-04-11
SKBM;SEKAR BUMI;2012-09-28
SKLT;SEKAR LAUT;1993-09-08
SMSM;SELAMAT SEMPURNA;1996-09-09
SCNP;SELARAS CITRA NUSANTARA PERKASA;2020-09-07
SEMA;SEMACOM INTEGRATED;2022-01-10
SMBR;SEMEN BATURAJA;2013-06-28
SMGR;SEMEN INDONESIA;1991-07-08
FOOD;SENTRA FOOD INDONESIA;2019-01-08
LUCK;SENTRAL MITRA INFORMATIKA;2018-11-28
BKSL;SENTUL CITY;1997-07-28
BATA;SEPATU BATA;1982-03-24
BIKE;SEPEDA BERSAMA INDONESIA;2022-03-21
SOSS;SHIELD ON SERVICE;2018-11-06
STTP;SIANTAR TOP;1996-12-16
SDMU;SIDOMULYO SELARAS;2011-07-12
SICO;SIGMA ENERGY COMPRESSINDO;2022-04-08
SHIP;SILLO MARITIME PERDANA;2016-06-16
SILO;SILOAM INTERNATIONAL HOSPITALS;2013-09-12
SMAR;SINAR MAS AGRO RESOURCES AND TECHNOLOGY;1992-11-20
SMMA;SINAR MAS MULTIARTHA;1995-07-05
ESIP;SINERGI INTI PLASTINDO;2019-11-14
NUSA;SINERGI MEGAH INTERNUSA;2018-07-12
SINI;SINGARAJA PUTRA;2019-11-08
SIMA;SIWANI MAKMUR;1994-06-03
JSKY;SKY ENERGY INDONESIA;2018-03-28
SULI;SLJ GLOBAL;1994-03-21
FREN;SMARTFREN TELECOM;2006-11-29
SMRU;SMR UTAMA;2011-10-10
SOCI;SOECHI LINES;2014-12-03
SOHO;SOHO GLOBAL HEALTH;2020-09-08
SMCB;SOLUSI BANGUN INDONESIA;1977-08-10
PACK;SOLUSI KEMASAN DIGITAL;2023-02-08
WIFI;SOLUSI SINERGI DIGITAL;2020-12-30
SUPR;SOLUSI TUNAS PRATAMA;2011-10-11
SONA;SONA TOPAS TOURISM INDUSTRY;1992-07-21
SIPD;SREEYA SEWU INDONESIA;1996-12-27
SRIL;SRI REJEKI ISMAN;2013-06-17
SWAT;SRIWAHANA ADITYAKARTA;2018-06-08
LPLI;STAR PACIFIC;1989-10-23
KPAL;STEADFAST MARINE;2018-06-08
SAFE;STEADY SAFE;1994-08-15
ISSP;STEEL PIPE INDUSTRY OF INDONESIA;2013-02-22
SUGI;SUGIH ENERGY;2002-06-19
AMRT;SUMBER ALFARIA TRIJAYA;2009-01-15
ITMA;SUMBER ENERGI ANDALAN;1990-12-10
SGER;SUMBER GLOBAL ENERGY;2020-08-10
SMKM;SUMBER MAS KONSTRUKSI;2022-03-09
STAA;SUMBER TANI AGUNG RESOURCES;2022-03-10
IKBI;SUMI INDO KABEL;1991-01-21
SMRA;SUMMARECON AGUNG;1990-05-07
TOYS;SUNINDO ADIPERSADA;2020-08-06
SUNI;SUNINDO PRATAMA;2023-01-09
SSTM;SUNSON TEXTILE MANUFACTURER;1997-08-20
SNLK;SUNTER LAKESIDE HOTEL;2021-03-29
SPMA;SUPARMA;1994-11-16
SURE;SUPER ENERGY;2018-10-05
SKRN;SUPERKRANE MITRA UTAMA;2018-10-11
RANC;SUPRA BOGA LESTARI;2012-06-07
SCCO;SUPREME CABLE MANUFACTURING & COMMERCE;1982-07-20
SBMA;SURYA BIRU MURNI ACETYLENE;2021-09-08
SCMA;SURYA CITRA MEDIA;2002-07-16
ESSA;SURYA ESA PERKASA;2012-02-01
SFAN;SURYA FAJAR CAPITAL;2019-06-19
NATO;SURYA PERMATA ANDALAN;2019-01-18
SPTO;SURYA PERTIWI;2018-05-14
SSIA;SURYA SEMESTA INTERNUSA;1997-03-27
TOTO;SURYA TOTO INDONESIA;1990-10-30
SMDM;SURYAMAS DUTAMAKMUR;1995-10-12
INDX;TANAH LAUT;2001-05-17
TOBA;TBS ENERGI UTAMA;2012-07-06
NINE;TECHNO9 INDONESIA;2022-12-05
TRON;TEKNOLOGI KARYA DIGITAL NUSA;2023-03-08
TLDN;TELADAN PRIMA AGRO;2022-04-12
TFAS;TELEFAST INDONESIA;2019-09-17
TLKM;TELKOM INDONESIA;1995-11-14
TMAS;TEMAS;2003-07-09
TBMS;TEMBAGA MULIA SEMANAN;1990-05-23
TMPO;TEMPO INTI MEDIA;2001-01-08
TSPC;TEMPO SCAN PACIFIC;1994-06-17
AXIO;TERA DATA INDONUSA;2022-07-20
TGRA;TERREGRA ASIA ENERGY;2017-05-16
TFCO;TIFICO FIBER INDONESIA;1980-02-26
TGKA;TIGARAKSA SATRIA;1990-06-11
TINS;TIMAH;1995-10-19
TIRA;TIRA AUSTENITE;1993-07-27
TIRT;TIRTA MAHAKAM RESOURCES;1999-12-13
INRU;TOBA PULP LESTARI;1990-06-18
CRAB;TOBA SURIMI INDUSTRIES;2022-08-10
TOTL;TOTAL BANGUN PERSADA;2006-07-25
TOPS;TOTALINDO EKA PERSADA;2017-06-16
PGJO;TOURINDO GUIDE INDONESIA;2020-01-08
TBIG;TOWER BERSAMA INFRASTRUCTURE;2010-10-26
TRAM;TRADA ALAM MINERA;2008-09-10
TPMA;TRANS POWER MARINE;2013-02-20
TCPI;TRANSCOAL PACIFIC;2018-07-06
TRJA;TRANSKON JAYA;2020-08-27
ALTO;TRI BANYAN TIRTA;2012-07-10
TRST;TRIAS SENTOSA;1990-07-02
TDPM;TRIDOMAIN PERFORMANCE MATERIALS;2018-04-09
TRIO;TRIKOMSEL OKE;2009-04-14
NCKL;TRIMEGAH BANGUN PERSADA;2023-04-12
UVCR;TRIMEGAH KARYA PRATAMA;2021-07-27
TRIM;TRIMEGAH SEKURITAS INDONESIA;2000-01-31
ATAP;TRIMITRA PRAWARA GOLDLAND;2020-12-11
LAND;TRIMITRA PROPERTINDO;2018-08-23
TNCA;TRIMUDA NUANSA CITRA;2018-06-28
PURE;TRINITAN METALS AND MINERALS;2019-10-09
true;TRINITI DINAMIK;2021-06-10
RAAM;TRIPAR MULTIVISION PLUS;2023-05-08
TAPG;TRIPUTRA AGRO PERSADA;2021-04-12
TRIS;TRISULA INTERNATIONAL;2012-06-28
BELL;TRISULA TEXTILE INDUSTRIES;2017-10-03
TRIL;TRIWIRA INSANLESTARI;2008-01-28
TRUS;TRUST FINANCE INDONESIA;2002-11-28
TALF;TUNAS ALFIN;2014-01-17
TBLA;TUNAS BARU LAMPUNG;2000-02-14
UNIQ;ULIMA NITRA;2021-03-08
ULTJ;ULTRA JAYA MILK INDUSTRY;1990-07-02
UNIC;UNGGUL INDAH CAHAYA;1989-11-06
UCID;UNI-CHARM INDONESIA;2019-12-20
UNVR;UNILEVER INDONESIA;1982-01-11
UNTR;UNITED TRACTORS;1989-09-19
URBN;URBAN JAKARTA PROPERTINDO;2018-12-10
RCCC;UTAMA RADAR CAHAYA;2022-08-02
INCO;VALE INDONESIA;1990-05-16
VAST;VASTLAND INDONESIA;2023-02-08
VTNY;VENTENY FORTUNA INTERNATIONAL;2022-12-15
VICI;VICTORIA CARE INDONESIA;2020-12-17
VINS;VICTORIA INSURANCE;2015-09-28
VICO;VICTORIA INVESTAMA;2013-07-08
VIVA;VISI MEDIA ASIA;2011-11-21
GOLD;VISI TELEKOMUNIKASI INFRASTRUKTUR;2010-07-07
VOKS;VOKSEL ELECTRIC;1990-12-20
COCO;WAHANA INTERFOOD NUSANTARA;2019-03-20
NASI;WAHANA INTI MAKMUR;2021-12-13
WOMF;WAHANA OTTOMITRA MULTIARTHA;2004-12-13
WAPO;WAHANA PRONATURAL;2001-06-22
WSBP;WASKITA BETON PRECAST;2016-09-20
WSKT;WASKITA KARYA;2012-12-19
WEHA;WEHA TRANSPORTASI INDONESIA;2007-05-31
WICO;WICAKSANA OVERSEAS INTERNATIONAL;1994-08-08
WMPP;WIDODO MAKMUR PERKASA;2021-12-06
WMUU;WIDODO MAKMUR UNGGAS;2021-02-02
FWCT;WIJAYA CAHAYA TIMBER;2023-02-01
WIKA;WIJAYA KARYA;2007-10-29
WEGE;WIJAYA KARYA BANGUNAN GEDUNG;2017-11-30
WTON;WIJAYA KARYA BETON;2014-04-08
CEKA;WILMAR CAHAYA INDONESIA;1996-07-09
SQMI;WILTON MAKMUR INDONESIA;2004-07-15
WINR;WINNER NUSANTARA JAYA;2022-04-25
WINS;WINTERMAR OFFSHORE MARINE;2010-11-29
WIRG;WIR ASIA;2022-04-04
WGSH;WIRA GLOBAL SOLUSI;2021-12-06
WIIM;WISMILAK INTI MAKMUR;2012-12-18
BPFI;WOORI FINANCE INDONESIA;2009-06-01
BSBK;WULANDARI BANGUN LAKSANA;2022-11-08
EXCL;XL AXIATA;2005-09-29
YPAS;YANAPRIMA HASTAPERSADA;2008-03-05
YELO;YELOOO INTEGRA DATANET;2018-10-29
YULE;YULIE SEKURITAS INDONESIA;2004-12-10
ZYRX;ZYREXINDO MANDIRI BUANA;2021-03-30
