company_name;sector
FORZA LAND INDONESIA;Property and Real Estate
FREEPORT INDONESIA ;Gold and Copper Mining
GADING DEVELOPMENT;Property and Real Estate
GAJAH TUNGGAL;Automotive and Components
GARDA TUJUH BUANA;Coal Mining
GARUDA INDONESIA;Aviation
GARUDA MAINTENANCE FACILITY AEROASIA;Aircraft Maintenance and Repair
GEMA GRAHASARANA;Interior Design
GLOBAL MEDIACOM;Media
GLOBAL TELESHOP;Retail
GOLDEN EAGLE ENERGY;Coal Mining
GOLDEN ENERGY MINES;Coal Mining
GOLDEN PLANTATION;Agriculture
GOLDEN RETAILINDO;Retail
GOODYEAR INDONESIA;Automotive and Components
GOZCO PLANTATIONS;Agriculture
GRAHA LAYAR PRIMA;Cinema
GRAHAMAS CITRAWISATA;Tourism
GRAND KARTECH;Engineering
GUDANG GARAM;Tobacco Manufacturer
HANSON INTERNATIONAL;Investment Company
HARUM ENERGY;Mining
HERO SUPERMARKET;Retail
HM SAMPOERNA;Tobacco Manufacturer
HOLCIM INDONESIA;Cement
HOTEL MANDARINE REGENCY;Hotel
HOTEL SAHID JAYA INTERNATIONAL;Hotel
IMPACK PRATAMA INDUSTRI;Construction Materials and Plastics
INDIKA ENERGY;Energy
INDO KORDSA;Automotive and Components
INDO TAMBANGRAYA MEGAH;Mining
INDOCEMENT TUNGGAL PRAKARSA;Cement
INDOFARMA;Pharmaceuticals
INDOFOOD CBP SUKSES MAKMUR;Food and Beverages
INDOFOOD SUKSES MAKMUR;Consumer Goods Industry
INDOMOBIL SUKSES INTERNASIONAL;Automotive and Components
INDONESIA AIRASIA ;Aviation
INDONESIAN PARADISE PROPERTY;Tourism
INDOPOLY SWAKARSA INDUSTRY;Plastics and Packaging
INDORITEL MAKMUR INTERNASIONAL;Computer and Services
INDOSAT OOREDOO;Telecommunication
INDUSTRI DAN PERDAGANGAN BINTRACO DHARMA;Automotive
INOVISI INFRACOM;Telecommunication
INTEGRA INDOCABINET;Wooden Products
INTI AGRI RESOURCES;Fishery
INTIKERAMIK ALAMASRI INDUSTRI;Ceramics
INTILAND DEVELOPMENT;Real Estate
INTRACO PENTA;Heavy Equipment
ISLAND CONCEPTS INDONESIA;Icon
J RESOURCES ASIA PASIFIK;Mining
JAKARTA INTERNATIONAL HOTELS & DEVELOPMENT;Tourism
JAKARTA SETIABUDI INTERNASIONAL;Tourism
JAPFA COMFEED INDONESIA;Agrifood
JASA ARMADA INDONESIA;Maritime Services
JASA MARGA;Infrastructure and Transportation
JASUINDO TIGA PERKASA;Advertising, Printing and Media
JAYA AGRA WATTIE;Agriculture
JAYA PARI STEEL;Steel Manufacturer
JAYA TRISHINDO;Transportation
JEMBO CABLE COMPANY;Cable
KALBE FARMA;Pharmaceuticals
KAWASAN INDUSTRI JABABEKA;Real Estate
KEDAUNG INDAH CAN;Houseware
KEDAWUNG SETIA INDUSTRIAL;Houseware
KERAMIKA INDONESIA ASSOSIASI;Ceramics
KERTAS BASUKI RACHMAT INDONESIA;Pulp and Paper
KIMIA FARMA;Pharmaceuticals
KINO INDONESIA;Cosmetics and Household
KIOSON KOMERSIAL INDONESIA;E-Commerce
KMI WIRE AND CABLE;Cable Industry
KOBEXINDO TRACTORS;Heavy Equipment
KRAKATAU STEEL;Basic Industry and Chemicals
LAMICITRA NUSANTARA;Real Estate
LANGGENG MAKMUR INDUSTRI;Houseware
LAUTAN LUAS;Basic Chemicals
LCK GLOBAL KEDATON;Lckm
LIMAS INDONESIA MAKMUR;Computer and Services
LINK NET;Information Technology
LION AIR ;Aviation
LIPPO CIKARANG;Real Estate
LIPPO KARAWACI;Real Estate
LIPPO SECURITIES;Finance
LOGINDO SAMUDRAMAKMUR;Offshore Marine Services
MAHAKA MEDIA;Advertising, Printing and Media
MALINDO FEEDMILL;Animal Feed
MANDALA AIRLINES ;Aviation
MANDOM INDONESIA;Cosmetics and Household
MAP BOGA ADIPERKASA;Food and Drinks
MAS MURNI INDONESIA;Hospitality
MATAHARI DEPARTMENT STORE;Retail
MATAHARI PUTRA PRIMA;Retail Trade
MAYORA INDAH;Food and Beverages
MEDCO ENERGI INTERNASIONAL;Mining
MEDIA NUSANTARA CITRA;Media
MEGA MANUNGGAL PROPERTY;Property and Real Estate
MERDEKA COPPER GOLD;Mining
MERPATI NUSANTARA AIRLINES ;Aviation
METRODATA ELECTRONICS;Computer and Services
METROPOLITAN LAND;Real Estate
MITRA ADIPERKASA;Retail
MITRA ENERGI PERSADA;Energy
MITRA INVESTINDO;Coal Mining
MITRA KELUARGA KARYASEHAT;Healthcare
MITRA PEMUDA;Property and Building Construction
MITRABAHTERA SEGARA SEJATI;Ship Transport
MITRABARA ADIPERDANA;Coal Mining
MNC INVESTAMA;Investment Company
MNC LAND;Real Estate
MNC SKY VISION;Media
MODERN INTERNASIONAL;Trade, Services and Investment
MODERNLAND REALTY;Real Estate
MULIA INDUSTRINDO;Ceramics, Glass, and Porcelain
MULTI AGRO GEMILANG PLANTATION;Agriculture
MULTI BINTANG INDONESIA;Food and Beverages
MULTI PRIMA SEJAHTERA;Automotive and Components
MULTIFILING MITRA INDONESIA;Document Management
MULTIPOLAR;Information Technology
MULTISTRADA ARAH SARANA;Automotive and Components
NIPPON INDOSARI CORPINDO;Consumer Goods Industry
NIPRESS;Automotive and Components
NUSA KONSTRUKSI ENJINIRING;Construction
NUSANTARA INFRASTRUCTURE;Infrastructure and Transportation
NUSANTARA PELABUHAN HANDAL;Harbor Services
PAKUWON JATI;Real Estate
PAN BROTHERS;Textile and Garment
PANIN FINANCIAL;Insurance
PANORAMA SENTRAWISATA;Tourism, Restaurant and Hotels
PANORAMA TRANSPORTASI;Transportation
PELABUHAN INDONESIA II ;Transportation
PELAT TIMAH NUSANTARA;Metal and Allied Products
PELAYARAN TAMARIN SAMUDRA;Transportation
PEMBANGUNAN GRAHA LESTARI INDAH;Hospitality
PEMBANGUNAN JAYA ANCOL;Tourism, Restaurant and Hotel
PEMBANGUNAN PERUMAHAN;Real Estate and Construction
PERDANA KARYA PERKASA;Coal Mining
PERKEBUNAN NUSANTARA III ;Agriculture
PERKEBUNAN NUSANTARA IV ;Agriculture
PERMATA PRIMA SAKTI;Coal Mining
PERTAMINA ;Mining
PERUSAHAAN GAS NEGARA;Gas Distribution and Transportation
PERUSAHAAN LISTRIK NEGARA ;Electricity
PETROSEA;Mining
PLAZA INDONESIA REALTY;Property and Real Estate
POLARIS INVESTAMA;Investment Company
POLYCHEM INDONESIA;Textile and Garment
POOL ADVISTA INDONESIA;Investment Company
POS INDONESIA ;Postal Services
PP LONDON SUMATRA INDONESIA;Agriculture
PRASIDHA ANEKA NIAGA;Agricultural Commodities
PRIMA ALLOY STEEL UNIVERSAL;Automotive and Components
PRIMA CAKRAWALA ABADI;Fishery
PROVIDENT AGRO;Agriculture
PUDJIADI & SONS;Hospitality
PUDJIADI PRESTIGE;Real Estate
PURADELTA LESTARI;Industrial Estate
RADIANT UTAMA INTERINSCO;Oil and Gas
RAMAYANA LESTARI SENTOSA;Trade, Services and Investment
RATU PRABU ENERGI;Petroleum and Natural Gas
RED PLANET INDONESIA;Tourism
RESOURCE ALAM INDONESIA;Mining
ROYAL HASKONINGDHV;Engineering
RUKUN RAHARJA;Energy
SALIM IVOMAS PRATAMA;Agriculture
SAMINDO RESOURCES;Coal Mining
SAMPOERNA AGRO;Agriculture
SANURHASTA MITRA;Tourism, Restaurant and Hotel
SARASWATI GRIYA LESTARI;Tourism
SARATOGA INVESTAMA SEDAYA;Investment Company
SARIGUNA PRIMATIRTA;Food and Beverages
SAT NUSAPERSADA;Electronics
SAWIT SUMBERMAS SARANA;Agriculture
SEJAHTERARAYA ANUGRAHJAYA;Healthcare
SELAMAT SEMPURNA;Automotive and Components
SEMEN BATURAJA;Cement
SEMEN INDONESIA;Cement
SEPATU BATA;Footwear
SIANTAR TOP;Food and Beverages
SIDO MUNCUL;Pharmaceuticals
SIGMAGOLD INTI PERKASA;Trade, Services and Investment
SILOAM INTERNATIONAL HOSPITALS;Healthcare
SINAR MAS MULTIARTHA;Finance
SKY ENERGY INDONESIA;Electronics
SMART;Agriculture
SMARTFREN TELECOM;Telecommunication
SMR UTAMA;Mining
SOECHI LINES;Transportation
SRI REJEKI ISMAN;Textile and Garment
SRIWIJAYA AIR ;Aviation
STAR PACIFIC;Media
STEEL PIPE INDUSTRY OF INDONESIA;Basic Industry and Chemicals
SUGIH ENERGY;Mining
SUMBER ALFARIA TRIJAYA;Retail
SUMBER ENERGI ANDALAN;Trade, Services and Investment
SUMI INDO KABEL;Cable
SUMMARECON AGUNG;Real Estate
SUPRA BOGA LESTARI;Trade, Services and Investment
SURYA CITRA MEDIA;Media
SURYA ESA PERKASA;Oil and Gas
SURYA SEMESTA INTERNUSA;Construction and Property
SURYA TOTO INDONESIA;Ceramics, Glass, and Porcelain
TAMBANG BATUBARA BUKIT ASAM;Mining
TELEKOMUNIKASI INDONESIA;Telecommunication
TELEKOMUNIKASI SELULAR ;Telecommunication
TEMPO INTI MEDIA;Media
TERREGRA ASIA ENERGY;Renewable Energy
TIFA FINANCE;Finance
TIGA PILAR SEJAHTERA FOOD;Food and Beverages
TIGARAKSA SATRIA;Wholesale
TIMAH;Mining
TIPHONE MOBILE INDONESIA;Telecommunication
TOBA BARA SEJAHTRA;Coal Mining
TOTAL BANGUN PERSADA;Construction
TOWER BERSAMA INFRASTRUCTURE;Telecommunication Infrastructure
TOYOTA ASTRA MOTOR;Automotive and Components
TRANS POWER MARINE;Ship Transport
TRI BANYAN TIRTA;Food and Beverages
TRIKOMSEL OKE;Retail
TRISULA TEXTILE INDUSTRIES;Textile and Garment
TRUST FINANCE INDONESIA;Finance
TUNAS BARU LAMPUNG;Agriculture
ULTRAJAYA MILK INDUSTRY;Consumer Goods Industry
UNILEVER INDONESIA;Consumer Goods Industry
UNITED TRACTORS;Heavy Equipment
VALE INDONESIA;Mining
VERENA MULTI FINANCE;Finance
VISI MEDIA ASIA;Media
WASKITA KARYA;Real Estate and Construction
WIJAYA KARYA;Construction
WIJAYA KARYA BETON;Precast Concrete
WINTERMAR OFFSHORE MARINE;Ship Transport
WISMILAK INTI MAKMUR;Tobacco Manufacturer
XL AXIATA;Telecommunication
